"","idno","cntry","agea","eisced","gndr","rlgdgr","domicil","blgetmg","hinctnta","uemp3m","hincfel","stfdem","stfeco","gincdif","sofrdst","lrscale","trstep","trstun","stfgov","euftf","imsmetn","imdfetn","impcntr","imbgeco","imwbcnt","polintr","psppsgva","psppipla","frprtpl","freehms","hmsacld","atchctr","imueclt","impenv","vote_pop_1","elec_system","pop_choice_1","GDP","occup","vote_eu","pop_att"
"1",27,"AT",43,3,1,0,4,2,3,2,3,8,8,1,3,9,5,5,8,10,2,2,2,5,0,3,3,2,2,1,1,10,6,3,3,"Proportional","r",1.550724086,3,1,5
"2",137,"AT",67,3,1,5,4,2,5,2,2,8,8,2,3,5,5,2,7,5,2,3,3,5,5,2,3,3,3,3,4,9,4,3,0,"Proportional","r",1.550724086,7,1,4.66666666666667
"3",194,"AT",40,2,2,4,4,2,9,2,1,6,5,2,2,5,5,5,6,4,2,2,3,6,5,4,2,3,3,3,3,10,6,3,0,"Proportional","r",1.550724086,4,2,5.33333333333333
"4",220,"AT",71,2,2,8,4,2,1,2,2,7,7,2,2,5,5,5,7,0,3,3,3,5,5,2,1,1,3,2,4,10,3,1,0,"Proportional","r",1.550724086,6,1,7
"5",254,"AT",64,3,1,6,4,2,5,2,1,7,9,2,2,3,4,6,6,3,2,2,2,6,5,2,2,3,3,3,3,8,7,1,0,"Proportional","r",1.550724086,7,1,5.33333333333333
"6",290,"AT",56,3,1,8,4,2,7,1,2,3,1,1,2,3,3,0,3,4,1,2,2,6,5,4,2,3,3,2,1,5,4,3,4,"Proportional","r",1.550724086,5,1,0
"7",305,"AT",37,3,1,6,4,2,5,2,2,4,8,1,2,4,1,1,5,3,4,4,4,0,0,3,1,1,2,1,1,8,0,1,4,"Proportional","r",1.550724086,6,2,1
"8",413,"AT",48,3,1,0,4,2,4,1,1,10,10,2,1,2,10,10,10,10,1,1,1,10,10,2,5,5,4,1,1,10,10,5,0,"Proportional","r",1.550724086,8,1,8.66666666666667
"9",438,"AT",59,4,2,8,4,2,9,1,1,7,5,2,3,3,9,8,2,8,2,2,2,6,5,2,3,3,4,1,2,5,8,1,0,"Proportional","r",1.550724086,5,1,5.66666666666667
"10",459,"AT",77,3,1,5,1,2,3,2,2,3,6,3,1,5,0,8,8,2,2,2,2,3,4,1,4,3,2,3,2,10,3,2,0,"Proportional","r",1.550724086,7,1,3
